Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
ABCC10	CLEC7A	trans-position, trans-gene	45752	92	45660	5.59e-07	-0.51051105	-0.710406939	-0.310615161	0.101986873	ptv	Inflammation	CLEC7A:Q9BXN2:OID20636:v1:Inflammation	3.08951E-05	-0.406827627	6	43427546	43451980
ERICH6B	SFRP4	trans-position, trans-gene	44654	12	44642	5.59e-07	1.410262777	0.858068231	1.962457323	0.281729448	raredmg	InflammationII	SFRP4:Q6FHJ7:OID30648:v1:InflammationII	9.99202E-08	1.444412234	13	45541241	45615739
NPHP3	TNFSF13	trans-position, trans-gene	45452	442	45010	5.59e-07	0.22425783	0.136443709	0.31207195	0.044802752	ptvraredmg	Inflammation	TNFSF13:O75888:OID20733:v1:Inflammation	7.02847E-06	0.191858977	3	132680609	132722459
FCGR3A	FCGR3B	cis-position, trans-gene	45292	15	45277	5.61e-07	-1.265758309	-1.761462865	-0.770053753	0.252908374	rec	Cardiometabolic	FCGR3B:O75015:OID20387:v1:Cardiometabolic	2.42024E-07	-1.233761894	1	161541759	161550623
P2RY6	IL12B	trans-position, trans-gene	45752	92	45660	5.61e-07	-0.50844973	-0.707568466	-0.309330993	0.10159037	ptvraredmg	Inflammation	IL12B:P29460:OID20666:v1:Inflammation	8.99234E-08	-0.512504069	11	73264496	73298625
ZNF18	ZFYVE19	trans-position, trans-gene	45423	17	45406	5.64e-07	1.205273185	0.733161984	1.677384387	0.240871067	URmtr	OncologyII	ZFYVE19:Q96K21:OID31452:v1:OncologyII	4.60544E-07	1.147337726	17	11977439	11997510
RNPC3	AMY2A	cis-position, trans-gene	43551	141	43410	5.65e-07	-0.417671641	-0.581281934	-0.254061349	0.083473852	flexnonsynmtr	Cardiometabolic	AMY2A:P04746:OID20333:v1:Cardiometabolic	4.81952E-06	-0.361760307	1	103525956	103555239
C1orf174	IL21R	trans-position, trans-gene	44339	24	44315	5.66e-07	-1.019943314	-1.419521939	-0.620364689	0.203864824	ptvraredmg	InflammationII	IL21R:Q9HBE5:OID30441:v1:InflammationII	3.13257E-06	-0.913056657	1	3889133	3900293
FUT1	PCDH12	trans-position, trans-gene	45520	203	45317	5.66e-07	0.350756688	0.213343866	0.48816951	0.070108006	flexnonsynmtr	NeurologyII	PCDH12:Q9NPG4:OID31045:v1:NeurologyII	6.71483E-07	0.343702787	19	48748011	48755390
IL12B	IL12A_IL12B	cis-position, cis-gene	45042	14	45028	5.67e-07	-1.30436554	-1.815391831	-0.79333925	0.260725481	ptv	Oncology	IL12A_IL12B:P29459_P29460:OID21327:v1:Oncology	4.51669E-07	-1.267715124	5	159314780	159330487
MTA3	KLK3	trans-position, trans-gene	45534	28	45506	5.67e-07	-0.581237641	-0.808962434	-0.353512848	0.116185164	URmtr	CardiometabolicII	KLK3:P07288:OID30364:v1:CardiometabolicII	4.21064E-06	-0.51556156	2	42494569	42795030
TNFSF12	TNFSF12	cis-position, cis-gene	45752	3	45749	5.68e-07	-2.837695188	-3.949560459	-1.725829917	0.56727361	ptv	Inflammation	TNFSF12:O43508:OID20624:v1:Inflammation	1.1756E-05	-2.149752225	17	7549058	7557890
ASGR1	ICAM5	trans-position, trans-gene	45276	106	45170	5.71e-07	0.473858724	0.28815813	0.659559319	0.094744408	ptvraredmg	Cardiometabolic	ICAM5:Q9UMF0:OID20145:v1:Cardiometabolic	1.03392E-06	0.451512589	17	7173431	7179564
ASGR1	LRP1	trans-position, trans-gene	45042	104	44938	5.73e-07	0.472066499	0.287043147	0.657089851	0.094398866	flexdmg	Oncology	LRP1:Q07954:OID21293:v1:Oncology	7.15749E-07	0.457053374	17	7173431	7179564
CD36	PODXL	trans-position, trans-gene	45042	466	44576	5.73e-07	-0.23244449	-0.323550192	-0.141338788	0.046482106	flexdmg	Oncology	PODXL:O00592:OID21358:v1:Oncology	3.05753E-08	-0.232491035	7	80369575	80679277
AGGF1	AMOT	trans-position, trans-gene	44654	215	44439	5.74e-07	-0.314834886	-0.438237006	-0.191432766	0.062959715	flexnonsynmtr	InflammationII	AMOT:Q4VCS5:OID30572:v1:InflammationII	7.46719E-07	-0.298425059	5	77030385	77065234
SH2B3	ADGRE5	trans-position, trans-gene	45596	232	45364	5.75e-07	0.315714884	0.19195914	0.439470629	0.063140169	flexdmg	Cardiometabolic	ADGRE5:P48960:OID20260:v1:Cardiometabolic	4.04831E-07	0.317418413	12	111405923	111451623
TAS2R30	RPS10	trans-position, trans-gene	44108	7	44101	5.75e-07	1.890351815	1.149355981	2.631347649	0.378055667	rec	CardiometabolicII	RPS10:P46783:OID30070:v1:CardiometabolicII	7.76947E-07	1.645587063	12	11133285	11134244
STAB2	ACE2	trans-position, trans-gene	44454	745	43709	5.78e-07	0.164064121	0.099738696	0.228389546	0.032818803	flexnonsynmtr	Cardiometabolic	ACE2:Q9BYF1:OID20105:v1:Cardiometabolic	5.31257E-06	0.140507986	12	103587273	103766719
CC2D1A	CC2D1A	cis-position, cis-gene	44914	227	44687	5.78e-07	-0.321435058	-0.447462336	-0.195407781	0.064299079	flexdmg	Neurology	CC2D1A:Q6P1N0:OID20958:v1:Neurology	3.03822E-08	-0.344362525	19	13906201	13930879
STAB1	CD109	trans-position, trans-gene	45260	717	44543	5.78e-07	0.184635348	0.112243153	0.257027542	0.036934484	ptvraredmg	Neurology	CD109:Q6YHK3:OID21108:v1:Neurology	6.58648E-08	0.186967713	3	52495338	52524495
ENKD1	CA6	trans-position, trans-gene	45117	47	45070	5.79e-07	-0.679250481	-0.945583909	-0.412917053	0.135883252	flexdmg	Neurology	CA6:P23280:OID21096:v1:Neurology	1.06305E-06	-0.581723587	16	67662947	67666725
PRR12	DKKL1	cis-position, trans-gene	45042	476	44566	5.79e-07	-0.222163396	-0.309275069	-0.135051723	0.044444353	flexnonsynmtr	Oncology	DKKL1:Q9UK85:OID21313:v1:Oncology	1.17734E-05	-0.183670867	19	49591655	49626439
SVEP1	APP	trans-position, trans-gene	45190	191	44999	5.82e-07	-0.35999136	-0.501170692	-0.218812029	0.072029665	UR	Neurology	APP:P05067:OID21070:v1:Neurology	2.62722E-05	-0.282350102	9	110365248	110579880
SLC10A2	TSPAN8	trans-position, trans-gene	45423	201	45222	5.86e-07	-0.339220468	-0.472286888	-0.206154047	0.067890469	flexdmg	OncologyII	TSPAN8:P19075:OID31470:v1:OncologyII	6.9306E-07	-0.32493416	13	103043998	103066846
IDS	FAP	trans-position, trans-gene	45810	23	45787	5.9e-07	-1.008846208	-1.404690697	-0.613001719	0.201959847	flexnonsynmtr	Cardiometabolic	FAP:Q12884:OID20330:v1:Cardiometabolic	4.46395E-07	-0.913846877	X	149476988	149521096
HGFAC	HGF	trans-position, trans-gene	45752	397	45355	5.91e-07	0.243315889	0.147836051	0.338795727	0.048713809	flexdmg	Inflammation	HGF:P14210:OID20656:v1:Inflammation	1.65797E-07	0.238437098	4	3441968	3449486
PRH2	AHNAK	trans-position, trans-gene	44457	13	44444	5.96e-07	1.329471538	0.807608586	1.85133449	0.266254249	flexnonsynmtr	CardiometabolicII	AHNAK:Q09666:OID30260:v1:CardiometabolicII	3.72862E-05	0.99090797	12	10929235	10934845
UPF3A	BAG3	trans-position, trans-gene	44838	146	44692	5.98e-07	-0.408609391	-0.569028665	-0.248190117	0.081845862	flexnonsynmtr	Neurology	BAG3:O95817:OID20972:v1:Neurology	2.52397E-06	-0.35582074	13	114281584	114305817
DNAJC13	CLSTN3	trans-position, trans-gene	45493	53	45440	5.99e-07	-0.676402512	-0.941962368	-0.410842656	0.135488606	URmtr	NeurologyII	CLSTN3:Q9BQT9:OID31092:v1:NeurologyII	5.74487E-06	-0.560045972	3	132417532	132539032
CA13	PALM2	trans-position, trans-gene	45493	11	45482	6.01e-07	-1.433232086	-1.996000213	-0.870463958	0.287124229	ptv	NeurologyII	PALM2:Q8IXS6:OID31096:v1:NeurologyII	1.25896E-05	-1.111767893	8	85220587	85284073
SIGIRR	FASLG	trans-position, trans-gene	45752	121	45631	6.04e-07	0.427969991	0.259889426	0.596050557	0.085754697	flexdmg	Inflammation	FASLG:P48023:OID20665:v1:Inflammation	5.09233E-08	0.455526774	11	405716	417454
PAPSS2	SNCG	cis-position, trans-gene	44914	307	44607	6.04e-07	-0.272736328	-0.379849101	-0.165623555	0.054648905	flexnonsynmtr	Neurology	SNCG:O76070:OID20971:v1:Neurology	3.27922E-06	-0.244712948	10	87659719	87747705
HADH	FABP6	trans-position, trans-gene	44391	80	44311	6.06e-07	-0.551095869	-0.767563697	-0.33462804	0.110441786	raredmg	Cardiometabolic	FABP6:P51161:OID20076:v1:Cardiometabolic	1.09942E-06	-0.500402711	4	107989714	108035241
OTUD6B	OTUD6B	cis-position, cis-gene	45423	9	45414	6.09e-07	-1.642780438	-2.288156454	-0.997404422	0.32927075	ptv	OncologyII	OTUD6B:Q8N6M0:OID31487:v1:OncologyII	7.461E-07	-1.472452006	8	91070196	91087095
OR2K2	IL7R	trans-position, trans-gene	45260	31	45229	6.12e-07	-0.890878123	-1.240928307	-0.540827939	0.178595536	ptvraredmg	Neurology	IL7R:P16871:OID21136:v1:Neurology	1.16063E-07	-0.887807413	9	111327370	111330173
KCTD14	DEFB104A_DEFB104B	trans-position, trans-gene	44185	11	44174	6.14e-07	-1.406303245	-1.958963472	-0.853643019	0.281966957	ptv	NeurologyII	DEFB104A_DEFB104B:Q8WTQ1:OID30849:v1:NeurologyII	9.81661E-05	-0.972708005	11	78015715	78046191
IGF2BP2	MAPK9	trans-position, trans-gene	45190	8	45182	6.14e-07	1.736110691	1.053822653	2.418398729	0.348103211	raredmgmtr	Inflammation	MAPK9:P45984:OID20557:v1:Inflammation	5.84259E-06	1.488131033	3	185643131	185825039
GFI1B	TMEM106A	trans-position, trans-gene	45424	48	45376	6.16e-07	-0.716903446	-0.998675566	-0.435131326	0.143760095	ptvraredmg	OncologyII	TMEM106A:Q96A25:OID31411:v1:OncologyII	3.53618E-07	-0.645233228	9	132945545	132993434
STAB1	TCOF1	trans-position, trans-gene	45616	1245	44371	6.18e-07	0.141044443	0.085601315	0.196487571	0.028287079	flexdmg	CardiometabolicII	TCOF1:Q13428:OID30316:v1:CardiometabolicII	1.79242E-07	0.141080708	3	52495338	52524495
G6PC	CTSF	trans-position, trans-gene	45388	248	45140	6.19e-07	0.307761262	0.186775273	0.42874725	0.061727033	flexdmg	Oncology	CTSF:Q9UBX1:OID21500:v1:Oncology	5.41429E-08	0.326329082	17	42900797	42914433
PFKM	AHSP	trans-position, trans-gene	45183	193	44990	6.22e-07	0.335822201	0.203780996	0.467863406	0.067367394	raredmg	Neurology	AHSP:Q9NZD4:OID21078:v1:Neurology	1.41581E-06	0.315956076	12	48105402	48146404
FLT3LG	TNFRSF13B	trans-position, trans-gene	45300	15	45285	6.24e-07	-1.255274258	-1.748877503	-0.761671012	0.251836286	ptvraredmg	Inflammation	TNFRSF13B:O14836:OID20702:v1:Inflammation	4.70984E-07	-1.129039401	19	49474207	49486231
CD36	BDNF	trans-position, trans-gene	45606	467	45139	6.26e-07	-0.229863172	-0.320266887	-0.139459457	0.046123967	flexdmg	CardiometabolicII	BDNF:P23560:OID30373:v1:CardiometabolicII	1.03987E-08	-0.238826051	7	80369575	80679277
PCGF6	SPESP1	trans-position, trans-gene	45616	106	45510	6.27e-07	0.442763306	0.268616895	0.616909718	0.088849484	flexnonsynmtr	CardiometabolicII	SPESP1:Q6UW49:OID30298:v1:CardiometabolicII	2.53143E-07	0.438787314	10	103302796	103351134
NR1H4	ITIH4	trans-position, trans-gene	45680	99	45581	6.28e-07	-0.472732846	-0.658677607	-0.286788085	0.094869005	ptvraredmg	InflammationII	ITIH4:Q14624:OID30762:v1:InflammationII	1.34231E-06	-0.444063309	12	100473759	100563867
WDR82	MYOC	trans-position, trans-gene	45260	10	45250	6.28e-07	1.4994062	0.909638053	2.089174347	0.300899595	raredmgmtr	Neurology	MYOC:Q99972:OID21121:v1:Neurology	6.60606E-07	1.501755001	3	52254422	52287876
ANO5	FABP3	trans-position, trans-gene	45616	18	45598	6.29e-07	1.050149825	0.637077516	1.463222134	0.210749456	rec	CardiometabolicII	FABP3:P05413:OID30351:v1:CardiometabolicII	1.55148E-07	1.081608934	11	22192513	22283367
TMEM43	EIF4E	trans-position, trans-gene	44339	12	44327	6.3e-07	-1.420020955	-1.978636592	-0.861405317	0.285005432	ptv	InflammationII	EIF4E:P06730:OID30557:v1:InflammationII	1.65656E-06	-1.263262091	3	14124940	14143680
SMAD6	SCRG1	trans-position, trans-gene	45616	33	45583	6.34e-07	0.748020638	0.453686112	1.042355163	0.150169449	ptv	CardiometabolicII	SCRG1:O75711:OID30333:v1:CardiometabolicII	5.19297E-07	0.723689215	15	66702100	66782000
TMEM25	TMEM25	cis-position, cis-gene	45520	15	45505	6.34e-07	-1.278388699	-1.781396351	-0.775381047	0.256634446	UR	NeurologyII	TMEM25:Q86YD3:OID31015:v1:NeurologyII	3.52778E-05	-0.857885677	11	118531041	118547280
MAGOHB	CLEC7A	cis-position, trans-gene	45752	28	45724	6.35e-07	-0.92005492	-1.282108445	-0.558001395	0.184719692	flexnonsynmtr	Inflammation	CLEC7A:Q9BXN2:OID20636:v1:Inflammation	1.0278E-07	-0.937055244	12	10603765	10613609
EDEM3	IFNGR1	trans-position, trans-gene	45452	57	45395	6.38e-07	0.641067694	0.388757061	0.893378328	0.128728851	UR	Inflammation	IFNGR1:P15260:OID20678:v1:Inflammation	2.30877E-05	0.528634057	1	184690491	184754907
LIPC	IL32	trans-position, trans-gene	45190	70	45120	6.39e-07	0.570878191	0.346188557	0.795567826	0.114636603	ptv	Inflammation	IL32:P24001:OID20605:v1:Inflammation	2.59996E-07	0.585764911	15	58410754	58568874
TENM2	IMMT	trans-position, trans-gene	45424	3	45421	6.44e-07	2.772236212	1.680790929	3.863681495	0.556855226	ptv	OncologyII	IMMT:Q16891:OID31397:v1:OncologyII	7.24202E-07	2.767931015	5	166979078	168264157
NKAPL	MOG	trans-position, trans-gene	45621	132	45489	6.44e-07	0.409792598	0.248448165	0.571137031	0.082317916	flexdmg	Oncology	MOG:Q16653:OID21384:v1:Oncology	9.1704E-07	0.397028572	6	28259297	28260958
SLC34A3	EPHB4	trans-position, trans-gene	45810	230	45580	6.46e-07	0.320532426	0.194318452	0.446746401	0.064394366	ptvraredmg	Cardiometabolic	EPHB4:P54760:OID20242:v1:Cardiometabolic	1.15929E-06	0.302200007	9	137230757	137236555
KIAA1211	TEX101	trans-position, trans-gene	44410	27	44383	6.48e-07	-0.669976756	-0.933827079	-0.406126433	0.134616315	URmtr	NeurologyII	TEX101:Q9BY14:OID30971:v1:NeurologyII	2.70718E-06	-0.605578272	4	56049229	56330724
RALA	CTHRC1	trans-position, trans-gene	45606	5	45601	6.49e-07	1.960062015	1.188142893	2.731981136	0.393833067	raredmg	CardiometabolicII	CTHRC1:Q96CG8:OID30393:v1:CardiometabolicII	6.85362E-07	1.963362437	7	39622955	39708124
SLC34A3	CD59	trans-position, trans-gene	43637	341	43296	6.52e-07	0.246436237	0.149365465	0.34350701	0.04952544	flexdmg	Cardiometabolic	CD59:P13987:OID20339:v1:Cardiometabolic	1.90804E-06	0.223654934	9	137230757	137236555
TSSK3	KCNH2	trans-position, trans-gene	44410	132	44278	6.52e-07	0.432855846	0.262347505	0.603364187	0.086993278	flexdmg	NeurologyII	KCNH2:Q12809:OID30899:v1:NeurologyII	8.81145E-07	0.401038901	1	32362261	32364325
OR6N1	SFTPD	trans-position, trans-gene	45276	18	45258	6.52e-07	1.13320788	0.686818502	1.579597258	0.227747777	raredmgmtr	Cardiometabolic	SFTPD:P35247:OID20214:v1:Cardiometabolic	3.67951E-07	1.133203877	1	158765744	158766682
KIAA0232	HMGCS1	trans-position, trans-gene	44108	145	43963	6.53e-07	0.413688786	0.25072126	0.576656312	0.083145942	ptvraredmg	CardiometabolicII	HMGCS1:Q01581:OID30157:v1:CardiometabolicII	3.11357E-06	0.383471991	4	6782732	6884172
MEGF11	CELA2A	trans-position, trans-gene	45606	80	45526	6.59e-07	-0.550847372	-0.767924356	-0.333770389	0.110752658	raredmgmtr	CardiometabolicII	CELA2A:P08217:OID30411:v1:CardiometabolicII	1.18112E-05	-0.398288779	15	65895079	66253756
TNFSF10	TNFRSF10A	trans-position, trans-gene	44914	47	44867	6.59e-07	0.694825524	0.421020371	0.968630676	0.139695307	ptvraredmg	Neurology	TNFRSF10A:O00220:OID20967:v1:Neurology	1.02357E-06	0.667859131	3	172505508	172523475
TMEM43	TIMM10	trans-position, trans-gene	45616	12	45604	6.62e-07	-1.425321372	-1.987086874	-0.863555869	0.286612711	ptv	CardiometabolicII	TIMM10:P62072:OID30358:v1:CardiometabolicII	8.12484E-06	-1.184993872	3	14124940	14143680
ADGRA3	CDKL5	trans-position, trans-gene	44185	366	43819	6.64e-07	-0.260693752	-0.363453259	-0.157934244	0.052427847	flexnonsynmtr	NeurologyII	CDKL5:O76039:OID30796:v1:NeurologyII	5.93524E-05	-0.196744679	4	22387374	22516058
TMEM43	CHMP1A	trans-position, trans-gene	44914	12	44902	6.65e-07	-1.432901726	-1.997755046	-0.868048405	0.288187996	ptv	Neurology	CHMP1A:Q9HD42:OID20930:v1:Neurology	1.70217E-06	-1.276314487	3	14124940	14143680
MOB3A	TDO2	trans-position, trans-gene	44410	40	44370	6.65e-07	-0.781091932	-1.089007176	-0.473176688	0.157098217	raredmgmtr	NeurologyII	TDO2:P48775:OID30910:v1:NeurologyII	1.1262E-05	-0.650233925	19	2071032	2096502
SLC39A7	STX1B	trans-position, trans-gene	44410	106	44304	6.66e-07	0.481727844	0.291813747	0.67164194	0.096894086	flexnonsynmtr	NeurologyII	STX1B:P61266:OID30934:v1:NeurologyII	1.48611E-06	0.434615454	6	33200826	33204437
IQGAP2	TNFRSF8	trans-position, trans-gene	45644	516	45128	6.66e-07	0.216115019	0.130917842	0.301312196	0.043467593	flexdmg	Neurology	TNFRSF8:P28908:OID21049:v1:Neurology	6.48457E-07	0.206325462	5	76403285	76708132
IFNGR1	IFNG	trans-position, trans-gene	44437	80	44357	6.67e-07	0.549347695	0.332769483	0.765925908	0.110498107	flexdmg	Inflammation	IFNG:P01579:OID20495:v1:Inflammation	4.46203E-07	0.524597288	6	137197485	137219449
CRYBB1	CRYBB1	cis-position, cis-gene	45616	13	45603	6.68e-07	-1.365028166	-1.903215973	-0.82684036	0.274583372	ptv	CardiometabolicII	CRYBB1:P53674:OID30319:v1:CardiometabolicII	9.68136E-09	-1.522566516	22	26599278	26618027
SMOC1	SMOC1	cis-position, cis-gene	45621	19	45602	6.7e-07	-1.051969783	-1.466780134	-0.637159432	0.211636206	UR	Oncology	SMOC1:Q9H4F8:OID21461:v1:Oncology	6.8217E-07	-0.935796482	14	69854131	70032366
EDEM3	BSG	trans-position, trans-gene	45673	211	45462	6.73e-07	0.327471329	0.198320065	0.456622593	0.065892966	flexdmg	Inflammation	BSG:P35613:OID20626:v1:Inflammation	3.79937E-06	0.293604911	1	184690491	184754907
SLC6A20	GBP2	trans-position, trans-gene	44437	167	44270	6.74e-07	-0.383598774	-0.534895745	-0.232301803	0.077191647	raredmg	Inflammation	GBP2:P32456:OID20489:v1:Inflammation	1.96698E-07	-0.38432737	3	45755449	45796561
UGT2A3	NOP56	trans-position, trans-gene	44108	75	44033	6.74e-07	0.574543538	0.347939447	0.801147629	0.115613283	raredmg	CardiometabolicII	NOP56:O00567:OID30055:v1:CardiometabolicII	8.48085E-06	0.47188529	4	68928459	68951798
TMEM43	PRKG1	trans-position, trans-gene	44654	12	44642	6.75e-07	-1.413551096	-1.971106409	-0.855995784	0.284464509	ptv	InflammationII	PRKG1:Q13976:OID30621:v1:InflammationII	5.47248E-06	-1.197903775	3	14124940	14143680
TMEM43	DNAJC6	trans-position, trans-gene	44457	12	44445	6.76e-07	-1.401099004	-1.953784764	-0.848413243	0.281980032	ptv	CardiometabolicII	DNAJC6:O75061:OID30247:v1:CardiometabolicII	1.13383E-06	-1.273017569	3	14124940	14143680
OR52N1	GPNMB	trans-position, trans-gene	44050	8	44042	6.76e-07	-1.720402162	-2.39904817	-1.041756154	0.346244808	URmtr	Cardiometabolic	GPNMB:Q14956:OID20173:v1:Cardiometabolic	3.39808E-06	-1.440318871	11	5787854	5788816
CD163L1	GNPDA2	trans-position, trans-gene	44654	170	44484	6.77e-07	0.376943434	0.228242242	0.525644626	0.075867292	flexdmg	InflammationII	GNPDA2:Q8TDQ7:OID30597:v1:InflammationII	3.0952E-07	0.370129115	12	7326484	7444185
GIMAP1-GIMAP5	GIMAP7	cis-position, trans-gene	44654	257	44397	6.78e-07	-0.305114833	-0.425486208	-0.184743457	0.06141343	flexnonsynmtr	InflammationII	GIMAP7:Q8NHV1:OID30639:v1:InflammationII	7.33277E-09	-0.340673364	7	150716557	150743649
LCORL	SPP1	trans-position, trans-gene	45739	35	45704	6.79e-07	-0.795569294	-1.10944397	-0.481694619	0.160138844	raredmg	Cardiometabolic	SPP1:P10451:OID20322:v1:Cardiometabolic	1.22988E-05	-0.667103577	4	17841199	18021860
TMEM43	BCL2L1	trans-position, trans-gene	45493	12	45481	6.8e-07	-1.422547025	-1.983801675	-0.861292375	0.286352053	ptv	NeurologyII	BCL2L1:Q07817:OID31152:v1:NeurologyII	1.40436E-06	-1.280632921	3	14124940	14143680
C11orf65	METAP1D	trans-position, trans-gene	45190	11	45179	6.8e-07	1.488640099	0.901294714	2.075985484	0.29966349	UR	Inflammation	METAP1D:Q6UB28:OID20519:v1:Inflammation	p>0.0001	p>0.0001	11	108331426	108467547
GFI1B	PIK3AP1	trans-position, trans-gene	45190	50	45140	6.81e-07	0.684104187	0.414167574	0.954040801	0.137721602	ptvraredmg	Inflammation	PIK3AP1:Q6ZUJ8:OID20587:v1:Inflammation	8.08186E-07	0.607248762	9	132945545	132993434
TMEM43	TBL1X	trans-position, trans-gene	44180	11	44169	6.82e-07	-1.48242628	-2.067383023	-0.897469537	0.298444622	ptv	Oncology	TBL1X:O60907:OID21220:v1:Oncology	1.62769E-06	-1.316738105	3	14124940	14143680
SLFN14	CCL16	cis-position, trans-gene	45810	324	45486	6.84e-07	-0.253539744	-0.353599592	-0.153479896	0.051050532	flexnonsynmtr	Cardiometabolic	CCL16:O15467:OID20334:v1:Cardiometabolic	9.8662E-07	-0.246900831	17	35545734	35560836
ASGR1	GP2	trans-position, trans-gene	43883	98	43785	6.84e-07	0.486122164	0.294281608	0.677962721	0.097876933	flexdmg	Cardiometabolic	GP2:P55259:OID20090:v1:Cardiometabolic	4.53868E-07	0.483009239	17	7173431	7179564
FAS	FAS	cis-position, cis-gene	45667	13	45654	6.85e-07	-1.254381327	-1.749439881	-0.759322774	0.252578839	raredmgmtr	Cardiometabolic	FAS:P25445:OID20316:v1:Cardiometabolic	1.74144E-06	-1.129245753	10	88953813	89029605
CAPN1	DTX3	trans-position, trans-gene	45042	208	44834	6.86e-07	-0.312364682	-0.435649789	-0.189079575	0.062900029	flexnonsynmtr	Oncology	DTX3:Q8N9I9:OID21349:v1:Oncology	4.23087E-07	-0.295636131	11	65181215	65212006
SETD2	TDGF1	cis-position, trans-gene	44217	407	43810	6.87e-07	0.246581435	0.149251435	0.343911435	0.049657716	flexnonsynmtr	Neurology	TDGF1:P13385:OID20816:v1:Neurology	7.79738E-07	0.232978238	3	47016408	47163977
TET2	CD300E	trans-position, trans-gene	45475	76	45399	6.88e-07	0.545347772	0.330083229	0.760612315	0.109827942	ptv	Oncology	CD300E:Q496F6:OID21418:v1:Oncology	5.48102E-07	0.544341279	4	105145875	105279816
TMEM43	MSRA	trans-position, trans-gene	45388	12	45376	6.89e-07	-1.417769731	-1.977429836	-0.858109625	0.285538499	ptv	Oncology	MSRA:Q9UJ68:OID21513:v1:Oncology	1.42923E-06	-1.276443472	3	14124940	14143680
UGT2A1	CRTAC1	trans-position, trans-gene	45810	54	45756	6.95e-07	-0.636031879	-0.887198791	-0.384864968	0.128145351	rec	Cardiometabolic	CRTAC1:Q9NQ79:OID20279:v1:Cardiometabolic	3.90027E-05	-0.482547717	4	69588417	69653249
SEM1	PAIP2B	trans-position, trans-gene	43975	6	43969	6.95e-07	2.031463288	1.229254979	2.833671596	0.409286204	UR	OncologyII	PAIP2B:Q9ULR5:OID31228:v1:OncologyII	5.915E-06	1.711874724	7	96688767	96709891
ENC1	PTPRF	trans-position, trans-gene	45810	81	45729	6.96e-07	0.526753448	0.318732475	0.734774422	0.106132295	flexdmg	Cardiometabolic	PTPRF:P10586:OID20310:v1:Cardiometabolic	1.4812E-07	0.52091189	5	74627406	74641424
